,test_data,test_class,predict_class,predict_prob
30,"['2', '月', '5', '号', '上海', '的', '活动', '动地', '地址', '在', '哪儿']",A2401,A2401,0.9999998370073788
31,"['你们', '公司', '上', '两周', '有', '在线', '活动', '吗']",A2402,A2402,0.9664951532234293
32,"['29', '号', '的', '会议', '是', '关于', '什么', '的', '内容']",A2401,A2401,0.9999996365956626
33,"['帮', '我', '报名', '明天', '天上', '上海', '的', '活动']",A2401,A2401,0.9999903785593405
34,"['9', '月份', '有', '什么', '会议']",A2401,A2401,0.9839442513313064
35,"['你们', '公司', '上周', '有线', '上会', '会议', '没']",A2402,A2402,0.9990396121550278
36,"['怎么', '参加', 'AWS', '的', '活动']",A2401,A2401,0.9969506005447784
37,"['亚马', '亚马逊', '云', '科技', '前天', '有', '在线', '会议', '没']",A2402,A2402,0.9973599297723889
38,"['11', '月份', '有', '什么', '会议']",A2401,A2401,0.9944046761432879
39,"['你们', '公司', '本月', '有', '哪些', '峰会']",A2401,A2402,0.7423476869302146
40,"['你们', '公司', '下星期', '星期', '有', '哪些', '峰会']",A2401,A2402,0.7994511096414854
41,"['下月', '有', '什么', '活动']",A2401,A2401,0.7508788027708488
42,"['亚马', '亚马逊', '云', '科技', '这个', '星期', '有', '哪些', '网上', '上会', '会议']",A2401,A2402,0.7554308236845814
43,"['亚马', '亚马逊', '云', '科技', '今天', '今天下午', '天下', '下午', '有数', '数据', '相关', '的', '会议', '吗']",A2401,A2401,0.9988586472648175
44,"['亚马', '亚马逊', '云', '科技', '这', '两个', '星期', '在', '西安', '有', '哪些', '峰会']",A2401,A2402,0.9872550017123144
45,"['AWS', '这周', '有', '安全', '相关', '的', '会议', '吗']",A2401,A2401,0.9643138138170491
46,"['上', '两个', '星期', '有', '什么', '活动']",A2402,A2402,0.8252074487405386
47,"['把', '这周', '活动', '信息', '发邮件', '邮件', '给', '我', '上']",A2401,A2401,0.8926852994809905
48,"['你们', '公司', '明天', '有线', '线下', '研讨', '研讨会', '吗']",A2401,A2402,0.5920025390030855
49,"['AWS', '这', '半个', '月', '有研', '研讨', '研讨会', '吗']",A2401,A2401,0.9988416224930363
50,"['把', '9', '月', '28', '号', '线', '上', '活动', '的', '内容', '发邮件', '邮件', '给', '我']",A2401,A2401,0.99999997738356
51,"['你们', '公司', '上月', '在', '广州', '有', '哪些', '会议']",A2402,A2402,0.9989931898092379
52,"['你们', '公司', '下月', '在', '福州', '有', '什么', '峰会']",A2401,A2402,0.8697143737651997
53,"['最近', '两', '星期', '有', '什么', '活动']",A2401,A2401,0.8336211991666517
54,"['把', '上周', '活动', '信息', '发', '个', '短信', '给', '我']",A2402,A2402,0.8195847550276376
55,"['你们', '公司', '上个', '上个月', '有线', '上会', '会议', '吗']",A2402,A2402,0.9998472510477314
56,"['亚马', '亚马逊', '云', '科技', '下个月', '有', '哪些', '网上', '上会', '会议']",A2401,A2402,0.8580835291129392
57,"['能', '把', '10', '月', '28', '号数', '数据', '创新', '的', '活动', '内容', '发', '我', '一下', '吗']",A2401,A2401,0.9999999841847825
58,"['你们', '公司', '这', '半月', '有', '哪些', '研讨', '研讨会']",A2401,A2401,0.8057271621258633
59,"['AWS', '上个', '上个星期', '星期', '在', '上海', '有', '会议', '吗']",A2402,A2402,0.9991430320670224
60,"['亚马', '亚马逊', '云', '科技', '前', '两个', '星期', '有', '哪些', '峰会']",A2402,A2402,0.9999306093692182
61,"['你们', '公司', '下个月', '有', '什么', '会议']",A2401,A2402,0.5782742574751708
62,"['说', '一下', '明天', '的', '研讨', '研讨会', '介绍']",A2401,A2401,0.9997578521755383
63,"['你们', '公司', '今天', '今天下午', '天下', '下午', '有', '什么', '用电', '电脑', '、', '手机', '就', '可以', '观看', '的', '活动']",A2401,A2401,0.9780687286700668
